name,short_name,country
"Alabama","AL",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Alaska","AK",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Arizona","AZ",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Arkansas","AR",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"California","CA",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Colorado","CO",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Connecticut","CT",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Delaware","DE",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"District of Columbia","DC",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Florida","FL",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Georgia","GA",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Hawaii","HI",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Idaho","ID",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Illinois","IL",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Indiana","IN",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Iowa","IA",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Kansas","KS",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Kentucky","KY",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Louisiana","LA",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Maine","ME",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Montana","MT",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Nebraska","NE",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Nevada","NV",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"New Hampshire","NH",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"New Jersey","NJ",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"New Mexico","NM",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"New York","NY",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"North Carolina","NC",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"North Dakota","ND",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Ohio","OH",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Oklahoma","OK",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Oregon","OR",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Maryland","MD",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Massachusetts","MA",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Michigan","MI",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Minnesota","MN",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Mississippi","MS",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Missouri","MO",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Pennsylvania","PA",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Rhode Island","RI",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"South Carolina","SC",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"South Dakota","SD",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Tennessee","TN",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Texas","TX",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Utah","UT",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Vermont","VT",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Virginia","VA",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Washington","WA",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"West Virginia","WV",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Wisconsin","WI",c53c6791-62e2-448d-9dd5-d7d28f43a55d
"Wyoming","WY",c53c6791-62e2-448d-9dd5-d7d28f43a55d
