state,zip_code,county,city
470d20ee-2c88-448f-b012-36512f3dbfc7,90001,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90002,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90003,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90004,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90005,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90006,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90007,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90008,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90010,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90011,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90012,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90013,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90014,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90015,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90016,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90017,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90018,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90019,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90020,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90021,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90022,Los Angeles,East los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90023,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90024,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90025,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90026,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90027,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90028,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90029,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90031,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90032,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90033,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90034,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90035,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90036,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90037,Los Angeles,Los angeles
470d20ee-2c88-448f-b012-36512f3dbfc7,90038,Los Angeles,Los angeles
